"As notas do Kindle para:",,,
"SHERLOCK HOLMES: DAS GETUPFTE BAND UND ANDERE DETEKTIVGESCHICHTEN (SHERLOCK HOLMES REIHE 1) (GERMAN EDITION)",,,
"de Arthur Conan Doyle",,,
"Visualização instantânea gratuita do Kindle:",,,
"https://a.co/bVmDpUj",,,
----------------------------------------------,,,
,,,
"Tipo de anotação","Posição","Com estrelas?","Anotação"
"Destaque (Amarelo)","Página 15","","herumziehenden"
"Destaque (Amarelo)","Página 15","","Zigeunern;"
"Destaque (Amarelo)","Página 15","","Brachland,"
"Destaque (Amarelo)","Página 15","","Besitztum"
"Destaque (Amarelo)","Página 15","","Lager aufschlagen."
"Destaque (Amarelo)","Página 15","","kehrte"
"Destaque (Amarelo)","Página 15","","Zelten"
"Destaque (Amarelo)","Página 15","","ein,"
"Destaque (Amarelo)","Página 15","","begleitete"
"Destaque (Amarelo)","Página 15","","sogar"
"Destaque (Amarelo)","Página 15","","wochenlang"
"Destaque (Amarelo)","Página 15","","Wanderzügen."
"Destaque (Amarelo)","Página 15","","leidenschaftliche"
"Destaque (Amarelo)","Página 15","","Vorliebe"
"Destaque (Amarelo)","Página 15","","gegenwärtig"
"Destaque (Amarelo)","Página 15","","Pavian,"
"Destaque (Amarelo)","Página 15","","Anwesen"
"Destaque (Amarelo)","Página 15","","umherlaufen"
"Destaque (Amarelo)","Página 15","","Dorfbewohnern"
"Destaque (Amarelo)","Página 15","","Schrecken"
"Destaque (Amarelo)","Página 15","","einjagen"
"Destaque (Amarelo)","Página 15","","Schilderung"
"Destaque (Amarelo)","Página 16","","Obwohl"
"Destaque (Amarelo)","Página 16","","starb,"
"Destaque (Amarelo)","Página 16","","also"
"Destaque (Amarelo)","Página 16","","eben"
"Destaque (Amarelo)","Página 16","","mitteilen."
"Destaque (Amarelo)","Página 16","","Umständen"
"Destaque (Amarelo)","Página 16","","Gelegenheit"
"Destaque (Amarelo)","Página 16","","Verkehr"
"Destaque (Amarelo)","Página 16","","Unseresgleichen"
"Destaque (Amarelo)","Página 16","","von Zeit zu Zeit"
"Destaque (Amarelo)","Página 16","","unverheiratete"
"Destaque (Amarelo)","Página 16","","solchen"
"Destaque (Amarelo)","Página 16","","gesetzten"
"Destaque (Amarelo)","Página 16","","verlobte."
"Destaque (Amarelo)","Página 16","","erhob gegen"
"Destaque (Amarelo)","Página 16","","Einwendung;"
"Destaque (Amarelo)","Página 16","","trat"
"Destaque (Amarelo)","Página 16","","Ereignis"
"Destaque (Amarelo)","Página 16","","ein,"
"Destaque (Amarelo)","Página 16","","einzigen"
"Destaque (Amarelo)","Página 16","","Gefährtin"
"Destaque (Amarelo)","Página 16","","beraubte.«"
"Destaque (Amarelo)","Página 16","","Kissen"
"Destaque (Amarelo)","Página 16","","vergraben,"
"Destaque (Amarelo)","Página 16","","schlug"
"Destaque (Amarelo)","Página 16","","Lider"
"Destaque (Amarelo)","Página 16","","auf"
"Destaque (Amarelo)","Página 16","","Erzählerin."
"Destaque (Amarelo)","Página 16","","schwer fallen,"
"Destaque (Amarelo)","Página 16","","Vorgänge"
"Destaque (Amarelo)","Página 16","","entsetzlichen"
"Destaque (Amarelo)","Página 16","","unauslöschlich"
"Destaque (Amarelo)","Página 17","","Gedächtnis."
"Destaque (Amarelo)","Página 17","","Flügel"
"Destaque (Amarelo)","Página 17","","Die Schlafzimmer"
"Destaque (Amarelo)","Página 17","","mittleren"
"Destaque (Amarelo)","Página 17","","Stockwerk"
"Destaque (Amarelo)","Página 17","","besteht"
"Destaque (Amarelo)","Página 17","","dagegen"
"Destaque (Amarelo)","Página 17","","Gang."
"Destaque (Amarelo)","Página 17","","»Vollkommen.«"
"Destaque (Amarelo)","Página 17","","Rasenplatz"
"Destaque (Amarelo)","Página 17","","jenem"
"Destaque (Amarelo)","Página 17","","zog"
"Destaque (Amarelo)","Página 17","","zeitig"
"Destaque (Amarelo)","Página 17","","trotzdem"
"Destaque (Amarelo)","Página 17","","begeben"
"Destaque (Amarelo)","Página 17","","Geruch"
"Destaque (Amarelo)","Página 17","","belästigt,"
"Destaque (Amarelo)","Página 17","","pflegte."
"Destaque (Amarelo)","Página 17","","bevorstehende"
"Destaque (Amarelo)","Página 17","","plaudern."
"Destaque (Amarelo)","Página 17","","Pfeifen"
"Destaque (Amarelo)","Página 17","","vernommen,"
"Destaque (Amarelo)","Página 17","","totenstill"
"Destaque (Amarelo)","Página 17","","seist"
"Destaque (Amarelo)","Página 18","","›Gewiss"
"Destaque (Amarelo)","Página 18","","ertönte"
"Destaque (Amarelo)","Página 18","","Pfiff."
"Destaque (Amarelo)","Página 18","","Vorplatz"
"Destaque (Amarelo)","Página 18","","Zigeunergesindel"
"Destaque (Amarelo)","Página 18","","herkommen.‹"
"Destaque (Amarelo)","Página 18","","›Höchst"
"Destaque (Amarelo)","Página 18","","wundert"
"Destaque (Amarelo)","Página 18","","fester"
"Destaque (Amarelo)","Página 18","","jedenfalls"
"Destaque (Amarelo)","Página 18","","versetzte"
"Destaque (Amarelo)","Página 18","","Augenblicke"
"Destaque (Amarelo)","Página 18","","abschloss.«"
"Destaque (Amarelo)","Página 18","","»Stets.«"
"Destaque (Amarelo)","Página 18","","taten"
"Destaque (Amarelo)","Página 18","","bereits"
"Destaque (Amarelo)","Página 18","","erwähnt,"
"Destaque (Amarelo)","Página 19","","freilich."
"Destaque (Amarelo)","Página 19","","jener"
"Destaque (Amarelo)","Página 19","","unbestimmtes"
"Destaque (Amarelo)","Página 19","","drohenden"
"Destaque (Amarelo)","Página 19","","Unheils"
"Destaque (Amarelo)","Página 19","","bedrückte"
"Destaque (Amarelo)","Página 19","","unheimliche"
"Destaque (Amarelo)","Página 19","","Läden."
"Destaque (Amarelo)","Página 19","","ertönte"
"Destaque (Amarelo)","Página 19","","mitten durch"
"Destaque (Amarelo)","Página 19","","Tosen des Sturmes"
"Destaque (Amarelo)","Página 19","","Angstschrei."
"Destaque (Amarelo)","Página 19","","erkannte"
"Destaque (Amarelo)","Página 19","","Rasch"
"Destaque (Amarelo)","Página 19","","stürzte"
"Destaque (Amarelo)","Página 19","","hinaus."
"Destaque (Amarelo)","Página 19","","klingendes"
"Destaque (Amarelo)","Página 19","","Geräusch"
"Destaque (Amarelo)","Página 19","","Gegenstandes."
"Destaque (Amarelo)","Página 19","","aufgeklinkt"
"Destaque (Amarelo)","Página 19","","Starr vor Angst"
"Destaque (Amarelo)","Página 19","","Schein"
"Destaque (Amarelo)","Página 19","","Flurlampe"
"Destaque (Amarelo)","Página 19","","erscheinen;"
"Destaque (Amarelo)","Página 19","","schreckensbleich,"
"Destaque (Amarelo)","Página 19","","hilfesuchend"
"Destaque (Amarelo)","Página 19","","ausgestreckt,"
"Destaque (Amarelo)","Página 19","","schwankte"
"Destaque (Amarelo)","Página 19","","berauscht."
"Destaque (Amarelo)","Página 19","","schlang"
"Destaque (Amarelo)","Página 19","","versagten"
"Destaque (Amarelo)","Página 19","","stürzte zu Boden,"
"Destaque (Amarelo)","Página 19","","wand"
"Destaque (Amarelo)","Página 19","","krümmte"
"Destaque (Amarelo)","Página 19","","furchtbaren"
"Destaque (Amarelo)","Página 19","","Glieder"
"Destaque (Amarelo)","Página 19","","zogen"
"Destaque (Amarelo)","Página 19","","krampfhaft"
"Destaque (Amarelo)","Página 19","","zuckend"
"Destaque (Amarelo)","Página 19","","zusammen."
"Destaque (Amarelo)","Página 19","","meinte"
"Destaque (Amarelo)","Página 19","","beugte,"
"Destaque (Amarelo)","Página 19","","stieß"
"Destaque (Amarelo)","Página 20","","abgebrochenen,"
"Destaque (Amarelo)","Página 20","","undeutlichen"
"Destaque (Amarelo)","Página 20","","Worte"
"Destaque (Amarelo)","Página 20","","hervor:"
"Destaque (Amarelo)","Página 20","","deutete,"
"Destaque (Amarelo)","Página 20","","grässlicher"
"Destaque (Amarelo)","Página 20","","Krampfanfall"
"Destaque (Amarelo)","Página 20","","erstickte."
"Destaque (Amarelo)","Página 20","","herbeiholen"
"Destaque (Amarelo)","Página 20","","bereits"
"Destaque (Amarelo)","Página 20","","Schlafrock"
"Destaque (Amarelo)","Página 20","","entgegengeeilt."
"Destaque (Amarelo)","Página 20","","trat,"
"Destaque (Amarelo)","Página 20","","Bewusstsein"
"Destaque (Amarelo)","Página 20","","flößte"
"Destaque (Amarelo)","Página 20","","ein"
"Destaque (Amarelo)","Página 20","","nützte"
"Destaque (Amarelo)","Página 20","","schwächer"
"Destaque (Amarelo)","Página 20","","Umstände,"
"Destaque (Amarelo)","Página 20","","Klang"
"Destaque (Amarelo)","Página 20","","wahrgenommen?"
"Destaque (Amarelo)","Página 20","","schwören?«"
"Destaque (Amarelo)","Página 20","","»Dasselbe"
"Destaque (Amarelo)","Página 20","","Gerichtsarzt"
"Destaque (Amarelo)","Página 20","","Totenschau."
"Destaque (Amarelo)","Página 20","","zwar"
"Destaque (Amarelo)","Página 20","","durchaus"
